All Transactions Announced Date,Target/Issuer,Transaction Status,"Total Transaction Value ($USDmm, Historical rate)",Buyers/Investors,Sellers,CIQ Transaction ID,Percent Sought (%),Transaction Comments,"Implied Enterprise Value ($USDmm, Historical rate)","Target/Issuer LTM Financials - Total Revenue (at Announcement) ($USDmm, Historical rate)","Target/Issuer LTM Financials - Net Income (at Announcement) ($USDmm, Historical rate)","Acquirer LTM Financials - Total Revenue (at Announcement) ($USDmm, Historical rate)","Acquirer LTM Financials - Net Income (at Announcement) ($USDmm, Historical rate)",Consideration Offered,Target Security Types,Deal Resolution,Accounting Method,Deal Attitude,State/Region From Primary Address [Target/Issuer]
5/6/2014,Sunhill Medical Arts Building,Closed,2.1,"HCA Holdings, Inc. (NYSE:HCA)",-,IQTR263453930,100,"HCA Holdings, Inc. (NYSE:HCA) acquired Sunhill Medical Arts building from a private investor for $2.1 million on May 6, 2014. Moe Derbala of Marcus & Millichap’s Tampa office acted as real estate broker for HCA and the private investor.",2.1,-,-,34574,1559,Cash,Asset,"HCA Holdings, Inc. (NYSE:HCA) completed the acquisition of Sunhill Medical Arts building from a private investor on May 6, 2014.",Purchase Acquisition,Friendly,Florida
5/2/2014,Casas Adobes Post-Acute Rehabilitation Center,Closed,-,"The Ensign Group, Inc. (NasdaqGS:ENSG)",-,IQTR262973269,100,"The Ensign Group, Inc. (NasdaqGS:ENSG) acquired Casas Adobes Post-Acute Rehabilitation Center on May 2, 2014. Ensign purchased Casas Adobes with cash. The acquisition is expected to be mildly accretive to earnings in 2014.",-,-,-,926.01,49.77,Cash,Asset,"The Ensign Group, Inc. (NasdaqGS:ENSG) completed the acquisition of Casas Adobes Post-Acute Rehabilitation Center on May 2, 2014.",Purchase Acquisition,Friendly,Arizona
4/24/2014,"Psychiatric Institute of Washington, D.C., Inc. And Arbor Group, L.L.C.",Closed,-,Universal Health Services Inc. (NYSE:UHS),-,IQTR262610354,100,"Universal Health Services Inc. (NYSE:UHS) acquired Psychiatric Institute Of Washington, D.C., Inc. and Arbor Group, L.L.C. on April 24, 2014.",-,-,-,7372.36,528.73,Unknown,Asset,"Universal Health Services Inc. (NYSE:UHS) completed the acquisition of Psychiatric Institute Of Washington, D.C., Inc. and Arbor Group, L.L.C. on April 24, 2014.",Purchase Acquisition,Friendly,-
4/11/2014,"Life's Doors Hospice, Inc.",Closed,-,"The Ensign Group, Inc. (NasdaqGS:ENSG)",-,IQTR261903870,100,"The Ensign Group, Inc. (NasdaqGS:ENSG) acquired Life's Doors in cash on April 11, 2014.",-,-,-,926.01,49.77,Cash,Common Equity,"The Ensign Group, Inc. (NasdaqGS:ENSG) completed the acquisition of Life's Doors on April 11, 2014.",Purchase Acquisition,Friendly,Idaho
4/4/2014,Natchez Regional Medical Center,Announced,-,"Community Health Systems, Inc. (NYSE:CYH)",-,IQTR261521539,100,"Community Health Systems, Inc. (NYSE:CYH) entered into a non-binding letter of intent to acquire Natchez Regional Medical Center on April 3, 2014. The letter of intent includes some terms that have already been reached including a purchase price, the recruiting of physicians and the safeguarding of Natchez Regional Medical Center's employees to a limited extent. A binding asset purchase agreement will be reached in 30 days. Letter of intent would eventually be filed with the federal courts in connection with Natchez Regional Medical Center's chapter 9 bankruptcy filing. The transaction has been approved by Adams County Board of Supervisors. As on July 11, 2014 Community Health Systems, Inc. (NYSE:CYH) entered in a definitive agreement to acquire substantially all assets of Natchez Regional Medical Center.",-,-,-,13918.69,-31.8,Unknown,Common Equity,-,Purchase Acquisition,Friendly,Mississippi
4/3/2014,St. Joseph Hospital Home Health and Hospice,Closed,-,"LHC Group, Inc. (NasdaqGS:LHCG)","St. Joseph's Hospital of Buckhannon, Inc.",IQTR261449008,100,"LHC Group, Inc. (NasdaqGS:LHCG) acquired assets of St. Joseph Hospital Home Health and Hospice from St. Joseph's Hospital Of Buckhannon, Inc. on April 3, 2014. In a related transaction, LHC Group, Inc. entered into a definitive agreement to acquire the assets of Professional Nursing Services from a family business on April 3, 2014. The combined transaction value for both the transactions is $2 million.",-,-,-,646.64,20.12,Cash,Asset,"LHC Group, Inc. (NasdaqGS:LHCG) completed the acquisition of assets of St. Joseph Hospital Home Health and Hospice from St. Joseph's Hospital Of Buckhannon, Inc. on April 3, 2014.",Purchase Acquisition,Friendly,-
4/3/2014,"Professional Nursing Solutions, LLC",Announced,-,"LHC Group, Inc. (NasdaqGS:LHCG)",-,IQTR261449414,100,"LHC Group, Inc. (NasdaqGS:LHCG) entered into a definitive agreement to acquire the assets of Professional Nursing Services from a family business on April 3, 2014. In a related transaction, LHC Group Inc. acquired St. Joseph Hospital Home Health and Hospice from St. Joseph's Hospital. The combined transaction value for both the transactions is $2 million. The acquisition includes home health provider and 4 community based service providers located near Raleigh, North Carolina. The acquisition is subject to customary closing conditions. The acquisition is expected to close on May 1, 2014.",-,-,-,646.64,20.12,Cash,Asset,-,Purchase Acquisition,Friendly,North Carolina
3/4/2014,Horizon Post-Acute and Rehabilitation Center,Closed,-,"The Ensign Group, Inc. (NasdaqGS:ENSG)",-,IQTR259847913,100,"The Ensign Group, Inc. (NasdaqGS:ENSG) acquired Horizon Post-Acute and Rehabilitation Center in cash on March 4, 2014. The transaction is expected to be mildly accretive to earnings in 2014.",-,-,-,904.56,25.84,Cash,Asset,"The Ensign Group, Inc. (NasdaqGS:ENSG) completed the acquisition of Horizon Post-Acute and Rehabilitation Center on March 4, 2014.",Purchase Acquisition,Friendly,Arizona
2/28/2014,Palo Verde Behavioral Health,Closed,-,Universal Health Services Inc. (NYSE:UHS),TMC Healthcare,IQTR259810572,100,"Universal Health Services Inc. (NYSE:UHS) acquired Palo Verde Behavioral Health from TMC Healthcare on February 28, 2014. Palo Verde Mental Health is renamed to Palo Verde Behavioral Health.",-,-,-,7283.82,510.44,Unknown,Common Equity,"Universal Health Services Inc. (NYSE:UHS) completed the acquisition of Palo Verde Behavioral Health from TMC Healthcare on February 28, 2014.",Purchase Acquisition,Friendly,Arizona
1/14/2014,SP Acquisition Corp.,Closed,-,"HCA Holdings, Inc. (NYSE:HCA)","Capella Healthcare, Inc.",IQTR254121226,100,"HCA Holdings, Inc. (NYSE:HCA) agreed to acquire SP Acquisition Corp. from Capella Healthcare, Inc. on January 14, 2014. HCA Holdings will combine Grandview Medical with its TriStar Division. The transaction is subject to customary regulatory approvals and is expected to be completed in the first quarter of 2014. George W. Bishop III and Miranda K. Kelley of Waller Lansden Dortch & Davis LLP acted as legal advisors to Capella Healthcare, Inc.",-,-,-,34182,1556,Unknown,Common Equity,"HCA Holdings, Inc. (NYSE:HCA) completed the acquisition of SP Acquisition Corp. from Capella Healthcare, Inc. on February 28, 2014.",Purchase Acquisition,Friendly,Tennessee
1/7/2014,7 Acres of Undeveloped Land Across The Street in Las Vegas,Closed,4.5,Universal Health Services Inc. (NYSE:UHS),The Howard Hughes Corporation (NYSE:HHC),IQTR253877007,100,Universal Health Services Inc. (NYSE:UHS) acquired 7 acres of undeveloped land across the street in Las Vegas from The Howard Hughes Corporation (NYSE:HHC) for $4.5 million in December 2013.,4.5,-,-,7283.82,510.44,Cash,Asset,Universal Health Services Inc. (NYSE:UHS) completed the acquisition of 7 acres of undeveloped land across the street in Las Vegas from The Howard Hughes Corporation (NYSE:HHC) in December 2013.,Purchase Acquisition,Friendly,Nevada
11/27/2013,Coram LLC.,Closed,2100,CVS Caremark Corporation (NYSE:CVS),Apria Finance Holdings Inc.,IQTR252175556,100,"CVS Caremark Corporation (NYSE:CVS) entered into an agreement to acquire Coram, Inc. from Apria Finance Holdings Inc. for $2.1 billion on November 26, 2013. CVS Caremark will make cash payment for equity and bridge loan payoff of Coram. The net proceeds of the 2013 notes will be used to repay commercial paper outstanding at the time of issuance and to fund the acquisition of Coram LLC in January 2014. Termination fee payable by CVS Caremark for the transaction is $25 million. The deal, subject to customary closing conditions, including necessary regulatory approvals, expiration of applicable waiting period under the HSR Act and other standard closing conditions, is expected to close by the end of the first quarter of 2014. The transaction is expected to add $0.03 to $0.05 to the CVS's adjusted earnings per share in 2015, the first full year following the close of the deal. The transaction is expected to have an immaterial impact on CVS Caremark's overall financial results in 2014. Barclays Capital Inc. acted as financial advisor and Dechert LLP served as legal advisors to CVS Caremark in the transaction. Goldman, Sachs & Co. and Blackstone Advisory Partners LP acted as financial advisor to Apria. William R. Dougherty, Kevin Lehpamer, Erik Wang, Kirsten Popoff, Alden Millard, Daniel Kay, Igor Fert, Benjamin Wells, Gary Mandel, Jason Vollbracht, Jodi Sackel, Gregory Grogan, Jennifer Pepin, Joe Tringali, Michael Naughton, Ellen Frye, Michael Isby and Marcela Robledo of Simpson Thacher & Bartlett LLP acted as legal advisors to Apria and Blackstone. Matthew G. Hurd of Sullivan & Cromwell LLP acted as legal advisor to CVS Caremark.",2100,-,-,125373,4467,Cash,Common Equity,"CVS Caremark Corporation (NYSE:CVS) completed the acquisition of Coram, Inc. from Apria Finance Holdings Inc. on January 16, 2014.",Purchase Acquisition,Friendly,Colorado
9/9/2013,"EDC Drug Stores, Inc., 76 Retail Drugstores, Distribution Center and Pharmacy Business",Closed,173,Walgreen Co. (NYSE:WAG),"EDC Drug Stores, Inc.",IQTR246137432,100,"Walgreen Co. (NYSE:WAG) agreed to acquire 76 retail drugstores, distribution center and pharmacy business from EDC Drug Stores, Inc. for approximately $170 million on September 9, 2013. EDC Drug Stores, Inc. will retain ownership of its long term care pharmacy business. Upon closing, the acquired Kerr Drug retail drugstores will continue to operate under their current brand in the near term. In fiscal year 2012, retail drugstores and specialty pharmacy business recorded total sales of $381 million. The transaction is subject to satisfaction of regulatory requeriments and other conditions and its expected to close sometime in 2013. Walgreens anticipates the transaction will not have a material impact on earnings per share in fiscal year 2014. Chris E. Abbinante, Scott R. Williams, Meenakshi Datta, Laura L. Leonard, Jeffrey S. Rothstein, Stewart R. Shepherd, Sharp Sorensen, Ami N. Wynne, Nathan J. Davis, Jonathan Dorfman, Peter Edgerton, Matt Farber, John P. Fordyce, Daniel Greenfield, Teresa Reuter, Catherine Y. Starks of Sidley Austin LLP acted as legal advisors to Walgreen Co.",173,381,-,72217,2450,Cash,Asset,"Walgreen Co. (NYSE:WAG) completed the acquisition of 76 retail drugstores, distribution center and pharmacy business from EDC Drug Stores, Inc. on November 8, 2013. Kerr Drug associates would become Walgreens employees.",Purchase Acquisition,Friendly,-
8/27/2013,Sharon Regional Health System Inc.,Closed,70,"Community Health Systems, Inc. (NYSE:CYH)",-,IQTR245315245,100,"Community Health Systems, Inc. (NYSE:CYH) signed a non-binding letter of intent to acquire the assets of Sharon Regional Health System Inc. on August 27, 2013. Community Health Systems, Inc. (NYSE:CYH) executed a definitive agreement to acquire substantially all of the assets of Sharon Regional Health System Inc. for $70 million on February 5, 2014. Sharon Regional will move forward through a period of due diligence and exclusive negotiations over the terms of the transaction. A definitive agreement is expected to be signed in later part of 2013 and deal is expected to be finalized in 60 to 90 days. Sharon Regional would retain existing employees. The deal is subject to customary closing conditions and regulatory approvals, including state approval. The transaction has been unanimously approved by Sharon Regional’s Board of Directors. As on February 26, 2014, Mercer County Common Pleas Judge Christopher St. John approved the transaction.",70,-,-,13037.12,215.73,Cash,Asset,"Community Health Systems, Inc. (NYSE:CYH) completed the acquisition of the assets of Sharon Regional Health System Inc. on April 1, 2014.",Purchase Acquisition,Friendly,Pennsylvania
8/19/2013,"Keller's Limb & Brace, Inc.",Effective,-,"Hanger, Inc. (NYSE:HGR)","Snell Prosthetic & Orthotic Laboratory, Inc.",IQTR244749912,100,"Hanger, Inc. (NYSE:HGR) acquired Keller's Limb & Brace, Inc. from Snell Prosthetic & Orthotic Laboratory, Inc. effective August 19, 2013. Concurrently, Hanger, Inc. acquired Development & Research, Inc.",-,-,-,1022.98,61.24,Unknown,Common Equity,"Hanger, Inc. (NYSE:HGR) completed the acquisition of Keller's Limb & Brace, Inc. from Snell Prosthetic & Orthotic Laboratory, Inc. effective August 19, 2013.",Purchase Acquisition,Friendly,Tennessee
8/19/2013,"Development & Research, Inc.",Effective,-,"Hanger, Inc. (NYSE:HGR)",-,IQTR245141752,100,"Hanger, Inc. (NYSE:HGR) acquired Development & Research, Inc. effective August 19, 2013. Concurrenty, Hanger, Inc. acquired Keller's Limb & Brace, Inc. from Snell Prosthetic & Orthotic Laboratory, Inc.",-,-,-,1022.98,61.24,Unknown,Common Equity,"Hanger, Inc. (NYSE:HGR) completed the acquisition of Development & Research, Inc. effective August 19, 2013.",Purchase Acquisition,Friendly,-
7/31/2013,"Wright & Filippis, Inc., Enteral Supply Business",Closed,-,Walgreen Co. (NYSE:WAG),"Wright & Filippis, Inc.",IQTR245834332,100,"Walgreen Co. (NYSE:WAG) acquired enteral supply business of Wright & Filippis, Inc. on July 31, 2013. Quarton Partners, LLC acted as financial advisor for Wright & Filippis, Inc.",-,-,-,71349,2146,Unknown,Asset,"Walgreen Co. (NYSE:WAG) completed the acquisition of enteral supply business of Wright & Filippis, Inc. on July 31, 2013.",Purchase Acquisition,Friendly,-
7/29/2013,Health Management Associates Inc.,Closed,7715.94,"Community Health Systems, Inc. (NYSE:CYH)","BlackRock, Inc. (NYSE:BLK); The Vanguard Group, Inc.; Wellington Management Company, LLP; Glenview Capital Management, LLC; Mason Capital Management, LLC; Herndon Capital Management, LLC; T. Rowe Price Associates, Inc.",IQTR243826715,100,"Community Health Systems, Inc. (NYSE:CYH) (CHS) entered into a definitive merger agreement to acquire Health Management Associates Inc. (NYSE:HMA) (HMA) from Wellington Management Company LLP, Mason Capital Management, LLC, BlackRock, Inc. (NYSE:BLK), The Vanguard Group, Inc., Glenview Capital Management, LLC, T. Rowe Price Associates, Inc., Herndon Capital Management, LLC and other investors for $3.7 billion in cash and stock on July 29, 2013. CHS will pay $10.50 per HMA share and issue 0.06942 shares per HMA share and restricted stock awards and deferred stock awards. In addition to the cash and stock consideration, the shareholders of HMA would also receive one contingent value right for each HMA share they own, which could yield additional cash consideration of up to $1 per share, depending on the outcome of certain legal matters.

CHS has received financing commitments from BofA Merrill Lynch, Credit Suisse, and certain of their affiliates. The Bank of Tokyo-Mitsubishi UFJ, Ltd. provided financing on the deal. The shareholders of HMA will own approximately 16% of the shares of the combined company following the close of the transaction. HMA will operate as a subsidiary of CHS. The deal will terminate if not completed by April 30, 2014. HMA will pay a termination fee of $109 million to CHS. In the event either party terminates the agreement because HMA stockholders do not approve the agreement, HMA may be required to pay CHS a fixed amount of expense reimbursement of $40 million. The transaction is not subject to a financing condition.

The transaction is subject to approval by a 70% vote of stockholders of HMA, antitrust clearance, receipt of other regulatory approvals, listing of CHS shares issued as consideration shall have been approved for listing on the NYSE, registration effectiveness of S-4 statement, the absence of certain adverse developments, and customary closing conditions. The transaction was unanimously approved by the Board of Directors of CHS and HMA and HMA Board of Directors has completed its review of the merger agreement and recommends that its stockholders approve the merger. As of September, 30, 2013, review period imposed by the HSR Act was requested to be extended.

On September 30, 2013, CHS received a request for additional information and documentary from the Federal Trade Commission. The effect of the request is to extend the review period imposed by the HSR Act. As of October 4, 2013, SEC has not reviewed and will not review CHS’s registration statement on Form S-4 containing the prospectus of CHS registering the shares of CHS common stock to be issued in its merger and the proxy statement of HMA for the solicitation of proxies from HMA stockholders for the approval of the transaction. As of November 22, 2013, registration statement on form S-4 has been declared effective by the Securities and Exchange Commission. As on November 26, 2013, U.S. Securities & Exchange Commission approval was received. On January 7, 2014, CHS launched a credit facility financing in connection with the transaction. In connection with the merger, CHS has entered into financing commitments to provide for a $750 million 2016 term facility and a $1.51 billion 2020/2021 term facility from Bank of America and Credit Suisse. CHS also expects to issue up to $1.33 billion in aggregate principal amount of senior secured notes and up to $2.38 billion in aggregate principal amount of senior unsecured notes through a private offering. If CHS is not able to complete such an offering, it has available commitments of up to a $2.21 billion secured bridge loan facility and a $2.38 billion unsecured bridge loan facility. As of January 8, 2014, HMA stockholders approved the merger. As announced on January 10, 2014, CHS intends to offer $1.7 billion of senior secured notes due 2021 and $2.8 billion of senior notes due 2022. The proceedings will be used to partly finance the acquisition. 


Brian McCarthy, Phil Pucciarelli and Michael McIvor of Bank of America Merrill Lynch, Pierce, Fenner & Smith Incorporated and Stuart Smith, David Kostel and Steve Schwartz of Credit Suisse acted as financial advisors and Stephen Fraidin, Thomas W. Christopher and Michael P. Brueck of Kirkland & Ellis LLP acted as legal advisor for CHS. Rob Kindler, Tedd Smith and Andrew Bhak of Morgan Stanley & Co. LLC acted as financial advisor and Michael J. Aiello and Matthew J. Gilroy, Sachin Kohli, Frank Martire, Mike Ray, Steven Sun, Faraz Rana, Matt Bloch, Andrew Woodworth, Maria Lennox Douglas Urquhart, Philip Ratner, Steven Bernstein, John Sipple, Vadim Brusser, Helyn Goldstein, Andrew Pelzer, Paul Wessel, Eric Schecter, Adam Mendelowitz, Charan Sandhu, Violetta Kokolus, Michael Ray and Marisa Geiger of Weil, Gotshal & Manges LLP acted as legal advisors for HMA. Michael S. Goldman, Joseph D. Zavaglia, Stephen M. Kessing, Manoj Ramachandran, Bomi Lee, Damien R. Zoubek, Keith Hallam, Katherine M. Stork and Emily L. Willborn of Cravath, Swaine & Moore LLP acted as legal advisor for Merrill Lynch & Co., Inc. and Credit Suisse (USA), Inc. in the deal. Patrick Dooley of Akin Gump Strauss Hauer Feld LLP acted as legal advisor for Glenview. Kenneth Lefkowitz and Avner Ben-Gera of Hughes Hubbard & Reed acted as legal advisors for Morgan Stanley in the deal. King & Spalding LLP along with Robbins, Russell, Englert, Orseck & Untereiner LLP acted as legal advisors for CHS. Cravath, Swaine & Moore LLP acted as legal advisor to Credit Suisse and Merrill Lynch & Co., Inc. Paul, Weiss, Rifkind, Wharton & Garrison LLP acted as legal advisor for HMA. As on September 24, 2013, Lazard Frères & Co. LLC and UBS Securities LLC acted as financial advisors to HMA. Gibson, Dunn & Crutcher LLP acted as legal advisor to Lazard Frères as advisor to the Special Committee of the Board of Directors of HMA. O'Melveny & Myers LLP acted as legal advisor for UBS. Christopher G. Dowd of Georgeson Inc. acted as information agent for HMA and will pay Georgeson a fee of approximately $20,000, plus reimbursement of reasonable out-of-pocket expenses. Arnold & Porter LLC acted as legal counsel to HMA. Deloitte & Touche LLP acted as accountant for CHS and Ernst & Young LLP acted as accountant for HMA. On August 29, 2013, HMA engaged Alvarez & Marsal Healthcare Industry Group, LLC to provide consulting services. Morgan Stanley has received $3 million upon the announcement of the merger for serving in this capacity. In addition, Morgan Stanley will be entitled to receive approximately $31.366 million upon the consummation of the merger. Lazard will receive a fee of $2.5 million for its services from HMA. HMA agreed to pay UBS for its financial advisory services in connection with the merger an aggregate fee of $2.5 million, $0.5 million of which was payable upon retention of UBS, and $2 million of which became payable in connection with UBS’ completion of work relating to its opinion.",7630.03,5868.31,123.3,13037.12,215.73,Cash; Combinations,Common Equity,"Community Health Systems, Inc. (NYSE:CYH) completed the acquisition of Health Management Associates Inc. (NYSE:HMA) from Wellington Management Company LLP, Mason Capital Management, LLC, BlackRock, Inc. (NYSE:BLK), The Vanguard Group, Inc., Glenview Capital Management, LLC, T. Rowe Price Associates, Inc., Herndon Capital Management, LLC on January 27, 2014.",Purchase Acquisition,Friendly,Florida
7/18/2013,"Memorial Hospital of Tampa, LP, Palms of Pasadena Hospital LP, & Town & Country Hospital LP",Closed,63.14,"HCA Holdings, Inc. (NYSE:HCA)",IASIS Healthcare LLC,IQTR243257815,100,"HCA Holdings, Inc. (NYSE:HCA) entered into a definitive agreement to acquire Memorial Hospital of Tampa, Palms Of Pasadena Hospital and Town & Country Hospital from IASIS Healthcare LLC on July 18, 2013. Upon closing of this transaction, the three hospitals will become part of the HCA West Florida division. The transaction is subject to customary regulatory approvals and closing conditions and is expected to close prior to year end.",63.14,-,-,33386,1441,Cash,Asset,"HCA Holdings, Inc. (NYSE:HCA) completed the acquisition of Memorial Hospital of Tampa, Palms Of Pasadena Hospital and Town & Country Hospital from IASIS Healthcare LLC for $63.1 million on October 1, 2013. Memorial Hospital of Tampa was purchased for $32.1 million, Town & Country Hospital for $16.2 million, and Pasadena Hospital for $14.8 million.",Purchase Acquisition,Friendly,Florida
6/19/2013,"Sarah Cannon Research Institute, LLC",Closed,-,"HCA Holdings, Inc. (NYSE:HCA)",-,IQTR241883752,32.7,"HCA Holdings, Inc. (NYSE:HCA) acquired remaining 32.7% stake in Sarah Cannon Research Institute, LLC on June 19, 2013.",-,-,-,33048,1409,Unknown,Common Equity,"HCA Holdings, Inc. (NYSE:HCA) completed the acquisition of remaining 32.7% stake in Sarah Cannon Research Institute, LLC on June 19, 2013.",Purchase Acquisition,Friendly,Tennessee
6/19/2013,"East Coast Orthotics, Inc. and Nascott, Inc.",Effective,-,"Hanger, Inc. (NYSE:HGR)",-,IQTR244749633,100,"Hanger, Inc. (NYSE:HGR) acquired East Coast Orthotics, Inc. and Nascott, Inc. effective June 19, 2013.",-,-,-,1000.99,64.55,Unknown,Asset,"Hanger, Inc. (NYSE:HGR) completed the acquisition of East Coast Orthotics, Inc. and Nascott, Inc. effective June 19, 2013.",Purchase Acquisition,Friendly,-
